property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,pooja room,luxury_score,furnish_score,floor_category
flat,rajendra nagar,2.0,2.0,1,Relatively New,994.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,madhapur,2.0,2.0,2,Relatively New,1150.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,pocharam,3.0,3.0,1,Old Property,1072.0,0.0,0.0,0.0,Medium,unfurnished,Low Floor
flat,nizampet,2.0,2.0,1,Old Property,1155.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,boduppal,2.0,2.0,2,Old Property,1050.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,santosh nagar,2.0,2.0,1,Moderately Old,950.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,hayathnagar,3.0,3.0,1,New Property,1719.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,hayathnagar,3.0,3.0,2,Under Construction,1460.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,miyapur,2.0,2.0,1,Under Construction,918.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,nagole,2.0,2.0,1,Under Construction,1260.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,narapally,2.0,2.0,2,Under Construction,1220.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,uppal,2.0,2.0,1,New Property,1355.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,kondapur,2.0,2.0,1,New Property,1297.0,0.0,0.0,1.0,Medium,unfurnished,High Floor
flat,gachibowli,4.0,5.0,2,Moderately Old,3170.0,0.0,1.0,0.0,Medium,unfurnished,Low Floor
flat,banjara hills,3.0,4.0,1,Moderately Old,2900.0,0.0,1.0,1.0,Medium,unfurnished,Low Floor
flat,gachibowli,3.0,3.0,2,Moderately Old,1935.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,miyapur,2.0,2.0,1,Relatively New,1145.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kondapur,3.0,3.0,2,New Property,1885.0,0.0,0.0,0.0,Medium,semifurnished,Mid Floor
flat,sainikpuri,3.0,3.0,2,Moderately Old,1503.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,kompally,2.0,2.0,1,Relatively New,1290.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,manikonda,2.0,2.0,2,Relatively New,1270.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,somajiguda,3.0,3.0,2,Old Property,3200.0,0.0,1.0,1.0,Low,unfurnished,Mid Floor
flat,film nagar,3.0,3.0,2,Old Property,2400.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kokapet,4.0,5.0,4,Under Construction,2255.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,kukatpally,2.0,2.0,2,Moderately Old,1200.0,0.0,0.0,0.0,Medium,unfurnished,Low Floor
flat,turkayamjal,2.0,2.0,2,New Property,1200.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,hi tech city,2.0,2.0,2,Relatively New,1050.0,0.0,0.0,1.0,High,unfurnished,High Floor
flat,gajulramaram,3.0,3.0,2,Relatively New,1950.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,chandanagar,2.0,2.0,1,Moderately Old,1140.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,kompally,2.0,2.0,2,Relatively New,1250.0,0.0,0.0,0.0,Medium,unfurnished,High Floor
flat,anand nagar colony,3.0,3.0,2,Under Construction,1795.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,kokapet,3.0,3.0,2,New Property,1650.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,bachupally,3.0,2.0,1,Under Construction,1353.0,1.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,pocharam,2.0,2.0,1,New Property,1072.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,tellapur,3.0,3.0,4,Relatively New,2250.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,moti nagar,3.0,2.0,1,New Property,1583.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,madinaguda,3.0,3.0,1,Moderately Old,1440.0,0.0,0.0,1.0,High,unfurnished,High Floor
flat,banjara hills,3.0,2.0,1,Old Property,1740.0,0.0,1.0,0.0,Low,unfurnished,Mid Floor
flat,tellapur,2.0,2.0,2,New Property,1200.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,kompally,3.0,2.0,1,New Property,1525.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kukatpally,2.0,2.0,2,Relatively New,1279.0,0.0,0.0,0.0,High,unfurnished,High Floor
